Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R006417,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Teradata Government Systems LLC,11/01/20-10/31/21
R006326,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Horsey Turf Farm, LLC",11/01/20-10/31/21
R006333,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Alliance of Boys & Girls Clubs,11/01/20-10/31/21
R006554,"Garagiola, Robert J","Compass Government Relations Partners, LLC","20/20 GeneSystems, Inc.",11/13/20-10/31/21
R006556,"Garagiola, Robert J","Compass Government Relations Partners, LLC",American Wind Energy Association,11/13/20-10/31/21
R006573,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Montgomery County Collaboration Council for Children, Youth and Families, Inc. on behalf of the Maryland Association of Local Management Boards",11/13/20-10/31/21
R006575,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Montgomery County Career Fire Fighters Association, Local 1664",11/13/20-10/31/21
R006579,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Printing and Graphics Association MidAtlantic,11/13/20-10/31/21
R006581,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Utility Scale Solar Energy Coalition,11/13/20-10/31/21
R006582,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Wawa, Inc.",11/13/20-10/31/21
R006560,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Distilled Spirits Council of the United States, Inc.",11/13/20-10/31/21
R006565,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Horsey Turf Farm, LLC",11/13/20-10/31/21
R006568,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/13/20-10/31/21
R007484,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",02/12/21-10/31/21
R009762,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Wawa, Inc.",11/01/21-10/31/22
R009660,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Association of Public Library Administrators,11/01/21-10/31/22
R009640,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Maryland - American Water Company, Inc.",11/01/21-10/31/22
R009722,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Penn-Mar Human Services,11/01/21-10/31/22
R009724,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/21-10/31/22
R009550,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Donate Life Maryland, Inc.",11/01/21-10/31/22
R010220,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Maryland - American Water Company, Inc.",11/01/21-10/31/22
R010241,"Garagiola, Robert J","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/01/21-10/31/22
R010217,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Maryland Vapor Alliance,11/01/21-10/31/22
R010223,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",11/01/21-10/31/22
R002557,"Garagiola, Robert J","Compass Management Partners, Inc.","Health Management Systems, Inc.",11/13/19-10/31/20
R003442,"Garagiola, Robert J","Compass Management Partners, Inc.",In State Partners,01/23/20-10/31/20
R010547,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Ceres,11/01/21-10/31/22
R010698,"Garagiola, Robert J","Compass Government Relations Partners, LLC",CVS Health and All Affiliated Subsidiaries,11/08/21-10/31/22
R002555,"Garagiola, Robert J","Compass Management Partners, Inc.","Coalition for Community Solar Access, Inc.",11/13/19-10/31/20
R002558,"Garagiola, Robert J","Compass Management Partners, Inc.",Utility Scale Solar Energy Coalition,11/13/19-10/31/20
R002595,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Annapolis Light House,11/15/19-10/31/20
R002598,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Chesapeake BaySavers,11/15/19-10/31/20
R002600,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Distilled Spirits Council of the United States, Inc.",11/15/19-10/31/20
R002602,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Lockheed Martin,11/15/19-10/31/20
R002606,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Motorola Solutions, Inc.",11/15/19-10/31/20
R002609,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Enterprise RAC Company of Maryland LLC,11/15/19-10/31/20
R002615,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Marylanders for End-of-Life Options,11/15/19-10/31/20
R002594,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",American Massage Therapy Association - MD Chapter,11/15/19-10/31/20
R003786,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Coalition of Ignition Interlock Manufacturers,03/10/20-10/31/20
R003726,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Enterprise RAC Company of Maryland LLC,03/02/20-10/31/20
R006315,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",CVS Health and All Affiliated Subsidiaries,11/01/20-10/31/21
R006317,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Distilled Spirits Council of the United States, Inc.",11/01/20-10/31/21
R006302,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Anne Arundel Chamber of Commerce,11/01/20-10/31/21
R006303,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Atlantic Richfield Company c/o The Nickel Law Firm,11/01/20-10/31/21
R006310,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Christian Healthcare Ministries,11/01/20-10/31/21
R006325,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Hippocratic Growth, LLC",11/01/20-10/31/21
R006332,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/01/20-10/31/21
R006339,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Veterinary Medical Association,11/01/20-10/31/21
R006376,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/01/20-10/31/21
R006555,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Atlantic Richfield Company c/o The Nickel Law Firm,11/13/20-10/31/21
R006576,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Mylan, Inc.",11/13/20-10/31/21
R007066,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Action Now Initiative, LLC (Arnold Ventures)",01/06/21-10/31/21
R007070,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Acusensus,01/06/21-10/31/21
R007074,"Garagiola, Robert J","Compass Government Relations Partners, LLC",CCAN Action Fund,01/06/21-10/31/21
R007487,"Garagiola, Robert J","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",02/12/21-10/31/21
R007516,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Preservation Maryland,03/01/21-10/31/21
R006331,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Lockheed Martin,11/01/20-10/31/21
R009730,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Printing and Graphics Association MidAtlantic,11/01/21-10/31/22
R009736,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Service Employees International Union,11/01/21-10/31/22
R009639,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Alliance of Boys & Girls Clubs,11/01/21-10/31/22
R009553,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","JJF Management Services, Inc.",11/01/21-10/31/22
R010270,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Printing and Graphics Association MidAtlantic,11/01/21-10/31/22
R007488,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Distilled Spirits Council of the United States, Inc.",11/01/21-10/31/22
R010238,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Montgomery County Career Fire Fighters Association, Local 1664",11/01/21-10/31/22
R010197,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","20/20 GeneSystems, Inc.",11/01/21-10/31/22
R010210,"Garagiola, Robert J","Compass Government Relations Partners, LLC","JJF Management Services, Inc.",11/01/21-10/31/22
R010262,"Garagiola, Robert J","Compass Government Relations Partners, LLC",NL Industries,11/01/21-10/31/22
R010359,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Viatris,11/01/21-10/31/22
R002607,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",11/01/19-10/31/20
R003432,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",In State Partners,01/23/20-10/31/20
R006566,"Garagiola, Robert J","Compass Government Relations Partners, LLC",In State Partners,11/13/20-10/31/21
R006324,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Health Management Systems, Inc.",11/01/20-10/31/21
R010651,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Christian Healthcare Ministries,11/05/21-10/31/22
R010648,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Anne Arundel Chamber of Commerce,11/05/21-10/31/22
R010660,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Vesta Solutions, Inc.",11/08/21-10/31/22
R002608,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Donate Life Maryland, Inc.",11/15/19-10/31/20
R002612,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland State Child Care Association,11/15/19-10/31/20
R002618,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",NL Industries,11/15/19-10/31/20
R002596,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",At Home Enterprises LLC (At-Home Annapolis),11/15/19-10/31/20
R002655,"Garagiola, Robert J","Compass Management Partners, Inc.","JJF Management Services, Inc.",11/19/19-10/31/20
R002786,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",McAfee,12/03/19-10/31/20
R003441,"Garagiola, Robert J","Compass Management Partners, Inc.","Hippocratic Growth, LLC",01/23/20-10/31/20
R003425,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Christian Healthcare Ministries,01/23/20-10/31/20
R003727,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Lockheed Martin,03/02/20-10/31/20
R003780,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Sherwin-Williams Company c/o Jones Day,03/09/20-10/31/20
R003785,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Utility Scale Solar Energy Coalition,03/10/20-10/31/20
R006319,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Donate Life Maryland, Inc.",11/01/20-10/31/21
R006323,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Girl Scouts of Central Maryland,11/01/20-10/31/21
R006308,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",American Wind Energy Association,11/01/20-10/31/21
R006336,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Association of Public Library Administrators,11/01/20-10/31/21
R006346,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Mylan, Inc.",11/01/20-10/31/21
R006348,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",National Alliance for the Mentally Ill Maryland (NAMI MD),11/01/20-10/31/21
R006557,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",11/13/20-10/31/21
R006561,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Enterprise RAC Company of Maryland LLC,11/13/20-10/31/21
R006570,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Maryland - American Water Company, Inc.",11/13/20-10/31/21
R006577,"Garagiola, Robert J","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/13/20-10/31/21
R006580,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Sherwin-Williams Company c/o Jones Day,11/13/20-10/31/21
R007073,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",CCAN Action Fund,01/06/21-10/31/21
R007486,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Pennsylvania Association of Private School Administrators (Maryland Chapter),02/17/21-10/31/21
R007588,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","20/20 GeneSystems, Inc.",03/02/21-10/31/21
R007589,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Chesapeake Watershed Restoration Professionals,03/26/21-10/31/21
R009665,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Motorola Solutions, Inc.",11/01/21-10/31/22
R009754,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",United Parcel Service,11/01/21-10/31/22
R009552,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Enterprise RAC Company of Maryland LLC,11/01/21-10/31/22
R010266,"Garagiola, Robert J","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/21-10/31/22
R010233,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Montgomery County Collaboration Council for Children, Youth and Families, Inc. on behalf of the Maryland Association of Local Management Boards",11/01/21-10/31/22
R010218,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/01/21-10/31/22
R006335,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",11/01/20-10/31/21
R006571,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",11/13/20-10/31/21
R010644,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",American Massage Therapy Association - MD Chapter,11/05/21-10/31/22
R010653,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Coalition of Ignition Interlock Manufacturers,11/05/21-10/31/22
R010693,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Coalition of Ignition Interlock Manufacturers,11/08/21-10/31/22
R002486,"Garagiola, Robert J","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/08/19-10/31/20
R002605,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Penn-Mar Human Services,11/15/19-10/31/20
R002613,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Montgomery County Child Care Coalition,11/15/19-10/31/20
R002614,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Maryland Association of Public Library Administrators,11/15/19-10/31/20
R002616,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/15/19-10/31/20
R002619,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Preservation Maryland,11/15/19-10/31/20
R002895,"Garagiola, Robert J","Compass Management Partners, Inc.","Jeff Buddle, Individually",12/12/19-10/31/20
R003430,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Acreage Holdings,01/23/20-10/31/20
R003434,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Pennsylvania Association of Private School Administrators (Maryland Chapter),01/23/20-10/31/20
R003443,"Garagiola, Robert J","Compass Management Partners, Inc.","Maryland - American Water Company, Inc.",01/23/20-10/31/20
R003543,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Atlantic Richfield Company c/o The Nickel Law Firm,03/04/20-10/31/20
R003729,"Garagiola, Robert J","Compass Government Relations Partners, LLC",NL Industries,03/02/20-10/31/20
R003731,"Garagiola, Robert J","Compass Government Relations Partners, LLC",American Wind Energy Association,03/02/20-10/31/20
R003783,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",03/10/20-10/31/20
R003856,"Garagiola, Robert J","Compass Government Relations Partners, LLC","20/20 GeneSystems, Inc.",05/01/20-10/31/20
R004084,"Garagiola, Robert J","Compass Government Relations Partners, LLC",CVS Health and All Affiliated Subsidiaries,08/18/20-10/31/20
R006301,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",American Massage Therapy Association - MD Chapter,11/01/20-10/31/21
R006322,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","JJF Management Services, Inc.",11/01/20-10/31/21
R006381,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",NL Industries,11/01/20-10/31/21
R006384,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Penn-Mar Human Services,11/01/20-10/31/21
R006385,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Printing and Graphics Association MidAtlantic,11/01/20-10/31/21
R006418,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",United Parcel Service,11/01/20-10/31/21
R006422,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Utility Scale Solar Energy Coalition,11/01/20-10/31/21
R006341,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Motorola Solutions, Inc.",11/01/20-10/31/21
R006415,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Sanofi US,11/01/20-10/31/21
R006562,"Garagiola, Robert J","Compass Government Relations Partners, LLC","JJF Management Services, Inc.",11/13/20-10/31/21
R006564,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Hippocratic Growth, LLC",11/13/20-10/31/21
R007668,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Diax Labs, Inc.",03/26/21-10/31/21
R007689,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",PayIt,03/29/21-10/31/21
R007699,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Transit Wireless, LLC",04/05/21-10/31/21
R009757,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Viatris,11/01/21-10/31/22
R009634,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Lockheed Martin,11/01/21-10/31/22
R009726,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Preservation Maryland,11/01/21-10/31/22
R009734,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Sanofi US,11/01/21-10/31/22
R009721,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",PayIt,11/01/21-10/31/22
R010208,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Enterprise RAC Company of Maryland LLC,11/01/21-10/31/22
R010353,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Sherwin-Williams Company c/o Jones Day,11/01/21-10/31/22
R010189,"Garagiola, Robert J","Compass Government Relations Partners, LLC","20/20 GeneSystems, Inc.",11/01/21-10/31/22
R010215,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Lockheed Martin,11/01/21-10/31/22
R009647,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",11/01/21-10/31/22
R006329,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",In State Partners,11/01/20-10/31/21
R010212,"Garagiola, Robert J","Compass Government Relations Partners, LLC",In State Partners,11/01/21-10/31/22
R002661,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Health Management Systems, Inc.",11/19/19-10/31/20
R006563,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Health Management Systems, Inc.",11/13/20-10/31/21
R009554,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Health Management Systems, Inc.",11/01/21-10/31/22
R010379,"Garagiola, Robert J","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",11/01/21-10/31/22
R010643,"Garagiola, Robert J","Compass Government Relations Partners, LLC",Acusensus,11/05/21-10/31/22
R010667,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC",Girl Scouts of Central Maryland,11/05/21-10/31/22
R002677,"Gardiner, Shamoyia Merrissa",Advocates for Children and Youth,Advocates for Children and Youth,11/19/19-06/19/20
R006464,"Gardiner, Shamoyia M",Strong Schools Maryland c/o The Fund for Educational Excellence,"Strong Schools Maryland, care of The Fund for Educational Excellence",11/01/20-10/31/21
R003555,"Garner, Tiffany ",Giffords,Giffords,02/10/20-10/31/20
R001698,"Garofalo, Ryan ",N/A,Pharmaceutical Research & Manufacturers of America,11/01/19-02/24/20
R003461,"Gearty, Julie  ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/27/20-05/01/20
R003449,"Geddes, Ann ",Maryland Coalition of Families,Maryland Coalition of Families,02/04/20-10/31/20
R000613,"Genn, Gil ",Bellamy Genn Group LLC,"Avaya, Inc.",11/01/19-10/31/20
R003936,"Genn, Gil ",Bellamy Genn Group LLC,Compassion and Choices,05/08/21-10/31/21
R007770,"Genn, Gil ",Bellamy Genn Group LLC,"Avaya, Inc.",05/08/21-10/31/21
R000127,"Genn, Gil ",Bellamy Genn Group LLC,"Maryland Athletic Trainers Association, Inc.",11/01/19-10/31/20
R000447,"Genn, Gil ",Bellamy Genn Group LLC,Vertex Pharmaceuticals Incorporated,11/01/19-10/31/20
R003339,"Genn, Gil ",Bellamy Genn Group LLC,"Maryland Theatre for the Performing Arts, Inc. d/b/a The Maryland Conference and Cultural Center",01/20/20-10/31/20
R003358,"Genn, Gil ",Bellamy Genn Group LLC,"Novartis Services, Inc.",01/21/20-10/31/20
R000645,"Genn, Gil ",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,11/01/19-10/31/20
R003623,"Genn, Gil ",Bellamy Genn Group LLC,Connor's Courage,02/14/20-10/31/20
R000610,"Genn, Gil ",Bellamy Genn Group LLC,ACLU of Maryland,11/01/19-10/31/20
R000615,"Genn, Gil ",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",11/01/19-10/31/20
R000617,"Genn, Gil ",Bellamy Genn Group LLC,"Feld Entertainment, Inc.",11/01/19-10/31/20
R003359,"Genn, Gil ",Bellamy Genn Group LLC,"Otsuka America Pharmaceutical, Inc.",01/21/20-10/31/20
R003146,"Gentle, Trisha ",Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,01/08/20-03/09/20
R003194,"Giannetti, John A, Jr.",Maryland Criminal Defense Attorneys Association ,Maryland Criminal Defense Attorneys Association,01/08/20-07/08/20
R007306,"Giannetti, John A, Jr.",Maryland Criminal Defense Attorneys Association ,Maryland Criminal Defense Attorneys Association,01/13/21-10/31/21
R007264,"Gianni, Joseph ",Bank of America Corporation,Bank of America Corporation,01/29/21-10/31/21
R002761,"Gibbons, Leah ","NRG Energy, Inc.","NRG Energy, Inc.",12/02/19-10/31/20
R004605,"Gibbons, Leah ","NRG Energy, Inc.","NRG Energy, Inc.",11/01/20-10/31/21
R008580,"Gibson, Ashley Dawn",College Board,"College Board, The",09/20/21-10/31/21
R009999,"Gibson, Ashley Dawn",College Board,"College Board, The",11/01/21-10/31/22
R006888,"Giel, Grant Amadeus","G. Macy Nelson, LLC",United Food & Commercial Workers Union Local 400,12/14/20-05/14/21
R003138,"Gill, Gregory M",Venable LLP,City of Bowie,01/07/20-10/31/20
R008763,"Gill, Gregory M",Venable LLP,City of Bowie,11/01/21-10/31/22
R001608,"Gill, Craig A.",Pfizer Inc.,Pfizer Inc.,11/01/19-10/31/20
R004285,"Gill, Craig A.",Pfizer Inc.,Pfizer Inc.,11/01/20-10/31/21
R009755,"Gill, Craig A.",Pfizer Inc.,Pfizer Inc.,11/01/21-10/31/22
R004542,"Gill, Gregory M",Venable LLP,City of Bowie,11/01/20-10/31/21
R006669,"Gilmore , Denise  ",AFSCME Council 3,AFSCME Council 3,11/01/20-10/31/21
R000749,"Gilmore , Denise  ",AFSCME Council 3,AFSCME Council 3,11/01/19-10/31/20
R009994,"Gilmore , Denise  ",AFSCME Council 3,AFSCME Council 3,11/01/21-10/31/22
R000548,"Gingles, Andre J.","Gingles, LLC",Gould Property Company,11/01/19-10/31/20
R000549,"Gingles, Andre J.","Gingles, LLC",Peterson Companies,11/01/19-10/31/20
R008379,"Gingles, Andre J.","Gingles, LLC",Gould Property Company,11/01/21-10/31/22
R008599,"Gingles, Andre J.","Gingles, LLC",Peterson Companies,11/01/21-10/31/22
R000551,"Gingles, Andre J.","Gingles, LLC",RPAI US Management LLC,11/01/19-10/31/20
R004160,"Gingles, Andre J.","Gingles, LLC",Peterson Companies,11/01/20-10/31/21
R008602,"Gingles, Andre J.","Gingles, LLC",RPAI US Management LLC,11/01/21-10/31/22
R004161,"Gingles, Andre J.","Gingles, LLC",RPAI US Management LLC,11/01/20-10/31/21
R004159,"Gingles, Andre J.","Gingles, LLC",Gould Property Company,11/01/20-10/31/21
R008752,"Giorgio, Sherri ","Gilead Sciences, Inc. ","Gilead Sciences, Inc.",11/01/21-10/31/22
R007513,"Giorgio, Sherri ","Gilead Sciences, Inc. ","Gilead Sciences, Inc.",02/18/21-10/31/21
R001251,"Glendening, Frances Hughes",Maryland Association of Boards of Education,Maryland Association of Boards of Education,11/01/19-10/31/20
R006505,"Glendening, Frances Hughes",Maryland Association of Boards of Education,Maryland Association of Boards of Education,11/01/20-10/31/21
R003103,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,Washington Gas,01/06/20-04/30/20
R003104,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,"Exelon Corporation c/o G.S. Proctor & Associates, Inc.",01/06/20-04/30/20
R003204,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,"6009 Oxon Hill Road, LLC / Varsity Investment Group",01/10/20-04/30/20
R003105,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,Prince George's County School Board,01/06/20-04/30/20
R003205,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,Landmark Properties,01/10/20-04/30/20
R007084,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,Washington Gas,01/13/21-04/13/21
R007085,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,"AAA Mid-Atlantic, Inc.",01/13/21-04/13/21
R007086,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,"Exelon Corporation c/o G.S. Proctor & Associates, Inc.",01/13/21-04/13/21
R003106,"Glidewell, Robert Merritt",Glidewell Consulting Inc.,"AAA Mid-Atlantic, Inc.",01/06/20-04/30/20
R001484,"Gochenaur, Angela ",N/A,Biotechnology Innovation Organization,11/01/19-08/04/20
R005583,"Gochenaur, Angela ",N/A,Biogen,11/01/20-10/17/21
R004056,"Gochenaur, Angela ",N/A,Biogen,08/05/20-10/31/20
R003833,"Goetz, John  ",Bridge Public Affairs ,Grace Healthcare,04/09/20-10/31/20
R007063,"Golison, Marissa ",Consumer Brands Association,Consumer Brands Association,01/08/21-10/31/21
R007788,"Goodfriend, David ","Emmer Consulting, Inc.",Sports Fans Coalition,03/04/21-10/31/21
R006903,"Goodfriend, David ","Emmer Consulting, Inc.",Lennar Corporation,12/10/20-04/30/21
R010676,"Goodwin, Michelle  Lynn","G.S. Proctor & Associates, Inc.",United States Bomb Technician Association (USBTA),11/08/21-10/31/22
R007479,"Gorski, Anthony G.",Anthony G. Gorski LLC,Mid-Atlantic Petroleum Distributors Association,02/01/21-04/30/21
R000985,"Gossett, Kelley ","Airbnb, Inc.","Airbnb, Inc.",11/01/19-04/01/20
R002917,"Grace, Sandy ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,01/06/20-10/31/20
R005344,"Grace, Sandy ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/20-10/31/21
R008754,"Grace, Sandy ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/21-10/31/22
R010896,"Graf, Lori ",Maryland Building Industry Association,Maryland Building Industry Association,11/01/21-10/31/22
R002921,"Graf, Lori ",Maryland Building Industry Association,Maryland Building Industry Association,12/23/19-10/31/20
R006749,"Graf, Lori ",Maryland Building Industry Association,Maryland Building Industry Association,11/25/20-10/31/21
R007729,"Grant, Rhonda ","Grant Consulting Group, LLC",Midwest Holding Inc.,05/03/21-10/31/21
