Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A011662,Businesses for a Better Tomorrow,"Taylor, James ",Businesses for a Better Tomorrow,11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,"$13,748.96",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,748.96"
A011663,Businesses for a Better Tomorrow,"Taylor, James ",Businesses for a Better Tomorrow,05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A012748,"Butler, Brandon","Greenwill Consulting Group, LLC",SonoAsh LLC,01/13/21-04/30/21,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,000.00"
A007012,"Butler, Brandon","Greenwill Consulting Group, LLC",SonoAsh LLC,08/17/20-10/31/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A007016,"Butler, Brandon","Greenwill Consulting Group, LLC","Aeon Technologies, LLC",08/25/20-10/31/20,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A012699,"Butler, Brandon","Greenwill Consulting Group, LLC",Town of Williamsport,01/13/21-04/30/21,"$8,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,200.00"
A012730,"Butler, Brandon","Greenwill Consulting Group, LLC","Aeon Technologies, LLC",01/13/21-04/30/21,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A001145,"Cade, Ardath",The Cade Mason Group,Washington County Board of Education,11/01/19-04/30/20,"$16,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,000.00"
A001146,"Cade, Ardath",The Cade Mason Group,Washington County Board of Education,05/01/20-10/31/20,"$17,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,000.00"
A007158,"Cade, Ardath",The Cade Mason Group,Washington County Board of Education,11/01/20-04/30/21,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,500.00"
A007159,"Cade, Ardath",The Cade Mason Group,Washington County Board of Education,05/01/21-10/31/21,"$4,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,500.00"
A001522,"Cahill, Eileen",Holy Cross Health,"Holy Cross Health, Inc.",05/01/20-10/31/20,"$1,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,500.00"
A008082,"Cahill, Eileen",Holy Cross Health,"Holy Cross Health, Inc.",11/01/20-04/30/21,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A001521,"Cahill, Eileen",Holy Cross Health,"Holy Cross Health, Inc.",11/01/19-04/30/20,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A000365,"Callender, Wade",National Rifle Association ,National Rifle Association,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000364,"Callender, Wade",National Rifle Association ,National Rifle Association,11/01/19-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A011881,"Callender, Wade",National Rifle Association ,National Rifle Association,11/30/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A011882,"Callender, Wade",National Rifle Association ,National Rifle Association,05/01/21-05/28/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005031,"Calvo, Enrique",SEIU Local 32BJ,SEIU Local 32BJ,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005030,"Calvo, Enrique",SEIU Local 32BJ,SEIU Local 32BJ,11/18/19-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A004620,"Campbell, Lael",N/A,Exelon Corporation,05/01/20-10/31/20,"$1,877.93",$0.00,$16.42,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,894.35"
A006522,"Campbell, Kenya",AFT Maryland,AFT-Maryland,02/27/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A006523,"Campbell, Kenya",AFT Maryland,AFT-Maryland,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A008190,"Campbell, Lael",N/A,Exelon Corporation,11/01/20-04/30/21,"$1,163.01",$0.00,$3.86,$0.00,"$224,766.57",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$225,933.44"
A004619,"Campbell, Lael",N/A,Exelon Corporation,11/20/19-04/30/20,"$4,068.85",$0.00,$13.68,"$10,000.00",$0.00,$0.00,$410.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,492.65"
A012475,"Campbell, Kenya",AFT Maryland,AFT-Maryland,01/13/21-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000341,"Campion, Louis",Maryland Motor Truck Association,Maryland Motor Truck Association,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000340,"Campion, Louis",Maryland Motor Truck Association,Maryland Motor Truck Association,11/01/19-04/30/20,"$31,200.00",$0.00,"$2,600.00",$0.00,$0.00,$0.00,$0.00,"$6,233.78",$0.00,$0.00,$0.00,$0.00,$0.00,"$40,033.78"
A008011,"Campion, Matthew",The Home Depot,"Home Depot, Inc., The",11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A007096,"Campion, Louis",Maryland Motor Truck Association,Maryland Motor Truck Association,05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A007095,"Campion, Louis",Maryland Motor Truck Association,Maryland Motor Truck Association,11/01/20-04/30/21,"$31,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$31,200.00"
A005133,"Campos, Ricardo",SEIU Local 32BJ,SEIU Local 32BJ,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A005132,"Campos, Ricardo",SEIU Local 32BJ,SEIU Local 32BJ,12/23/19-04/30/20,$477.17,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$477.17
A000396,"Carlson, Patrick",Johns Hopkins,Johns Hopkins,11/01/19-12/20/19,"$5,478.00","$4,210.00","$5,759.00",$0.00,$0.00,$0.00,$164.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,611.00"
A006347,"Carpenter, Crystal",The Campaign for the Fair Sentencing of Youth,Campaign for the Fair Sentencing of Youth,02/03/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A006348,"Carpenter, Crystal",The Campaign for the Fair Sentencing of Youth,Campaign for the Fair Sentencing of Youth,05/01/20-10/31/20,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00
A004893,"Carrington, J. Darrell",Carrington & Associates,Chesapeake Physicians for Social Responsibility (CPSR),05/01/20-10/31/20,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,103.00"
A000500,"Carrington, J. Darrell",Carrington & Associates,Carrington & Associates,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A002880,"Carrington, J. Darrell",Carrington & Associates,Maryleaf dba Bloom Medicinals,05/01/20-10/31/20,"$9,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,103.00"
A002884,"Carrington, J. Darrell",Carrington & Associates,1st Financial Inc.,05/01/20-10/31/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,103.00"
A010774,"Carrington, J. Darrell",Carrington & Associates,Carrington & Associates,05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A004892,"Carrington, J. Darrell",Carrington & Associates,Chesapeake Physicians for Social Responsibility (CPSR),12/06/19-04/30/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A000499,"Carrington, J. Darrell",Carrington & Associates,Carrington & Associates,11/01/19-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A002873,"Carrington, J. Darrell",Carrington & Associates,Bowie Golf Course,11/01/19-04/30/20,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A002874,"Carrington, J. Darrell",Carrington & Associates,Bowie Golf Course,05/01/20-10/31/20,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,103.00"
A010777,"Carrington, J. Darrell",Carrington & Associates,Maryleaf dba Bloom Medicinals,11/01/20-04/30/21,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A013655,"Carrington, J. Darrell",Carrington & Associates,Greater Good Maryland,05/01/21-10/31/21,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$103.00
A012814,"Carrington, J. Darrell",Carrington & Associates,Prince George's County Council,05/01/21-10/31/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A010779,"Carrington, J. Darrell",Carrington & Associates,Bowie Golf Course,11/01/20-04/30/21,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A010778,"Carrington, J. Darrell",Carrington & Associates,Maryleaf dba Bloom Medicinals,05/01/21-10/31/21,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A010773,"Carrington, J. Darrell",Carrington & Associates,Carrington & Associates,11/01/20-04/30/21,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$103.00
A010780,"Carrington, J. Darrell",Carrington & Associates,Bowie Golf Course,05/01/21-09/15/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013211,"Carrington, J. Darrell",Carrington & Associates,"Town of Capitol Heights, Maryland",05/01/21-05/07/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A010772,"Carrington, J. Darrell",Carrington & Associates,Chesapeake Physicians for Social Responsibility (CPSR),05/01/21-10/31/21,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A004894,"Carrington, J. Darrell",Carrington & Associates,Prince George's County Council,12/06/19-04/15/20,"$25,000.00",$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,103.00"
A013654,"Carrington, J. Darrell",Carrington & Associates,Greater Good Maryland,04/20/21-04/30/21,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$103.00
A012813,"Carrington, J. Darrell",Carrington & Associates,Prince George's County Council,11/16/20-04/30/21,"$30,000.00",$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,103.00"
A010775,"Carrington, J. Darrell",Carrington & Associates,1st Financial Inc.,11/01/20-04/30/21,"$12,000.00",$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,103.00"
A013210,"Carrington, J. Darrell",Carrington & Associates,"Town of Capitol Heights, Maryland",02/08/21-04/30/21,"$1,000.00",$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A010776,"Carrington, J. Darrell",Carrington & Associates,1st Financial Inc.,05/01/21-10/31/21,"$37,322.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,322.00"
A002879,"Carrington, J. Darrell",Carrington & Associates,Maryleaf dba Bloom Medicinals,11/01/19-04/30/20,"$9,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,000.00"
A002883,"Carrington, J. Darrell",Carrington & Associates,1st Financial Inc.,11/01/19-04/30/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A010771,"Carrington, J. Darrell",Carrington & Associates,Chesapeake Physicians for Social Responsibility (CPSR),11/01/20-04/30/21,"$9,000.00",$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,103.00"
A013704,"Carrington, J. Darrell",Carrington & Associates,"Sensys Gatso USA, Inc",05/13/21-10/31/21,"$8,000.00",$103.00,$60.00,$0.00,$0.00,$0.00,$422.58,"$4,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$12,785.58"
A013786,"Carrington, J. Darrell",Carrington & Associates,"Ivory Investments, LLC",07/13/21-10/31/21,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,103.00"
A013092,"Carroll, Christopher",AT&T,AT&T,02/04/21-04/30/21,"$2,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,500.00"
A005342,"Carroll, Christopher",AT&T,AT&T,01/06/20-04/30/20,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A005343,"Carroll, Christopher",AT&T,AT&T,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000954,"Carroll, Jr., David","Capitol Strategies, LLC","Waveseer, Inc.",05/01/20-10/31/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A000957,"Carroll, Jr., David","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/19-04/30/20,"$3,138.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,138.00"
A000959,"Carroll, Jr., David","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/19-04/30/20,"$3,564.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,564.00"
A000960,"Carroll, Jr., David","Capitol Strategies, LLC",Maryland School Bus Contractors Association,05/01/20-10/31/20,"$5,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,250.00"
A000961,"Carroll, Jr., David","Capitol Strategies, LLC","Erickson Living Management, LLC",11/01/19-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000972,"Carroll, Jr., David","Capitol Strategies, LLC",Vanguard Retail Property Development,05/01/20-10/31/20,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A000974,"Carroll, Jr., David","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",05/01/20-10/31/20,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A000979,"Carroll, Jr., David","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/19-04/30/20,"$13,804.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,804.00"
A000984,"Carroll, Jr., David","Capitol Strategies, LLC",Tradepoint Atlantic,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A000989,"Carroll, Jr., David","Capitol Strategies, LLC",MGM Resorts International,11/01/19-04/30/20,"$24,868.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,868.00"
A000993,"Carroll, Jr., David","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/19-04/30/20,"$10,309.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,309.00"
A000997,"Carroll, Jr., David","Capitol Strategies, LLC",Bombardier Mass Transit Corporation,11/01/19-04/30/20,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A000999,"Carroll, Jr., David","Capitol Strategies, LLC","Cintra US Services, LLC",11/01/19-04/30/20,"$17,606.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,606.00"
A001001,"Carroll, Jr., David","Capitol Strategies, LLC","Redwood Capital Investments, LLC",11/01/19-04/30/20,"$19,804.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$19,804.00"
A001007,"Carroll, Jr., David","Capitol Strategies, LLC",Anne Arundel Medical Center,11/01/19-04/30/20,"$13,137.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,137.00"
A001012,"Carroll, Jr., David","Capitol Strategies, LLC","Lyft, Inc.",05/01/20-10/31/20,"$8,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,500.00"
A001015,"Carroll, Jr., David","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/19-04/30/20,"$4,471.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,471.00"
A012433,"Carroll, Jr., David","Capitol Strategies, LLC",Brightview Senior Living,01/06/21-04/30/21,"$10,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,150.00"
A007053,"Carroll, Jr., David","Capitol Strategies, LLC",Zillow,09/21/20-10/31/20,"$11,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,000.00"
A007793,"Carroll, Jr., David","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/20-04/30/21,"$17,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,150.00"
A008106,"Carroll, Jr., David","Capitol Strategies, LLC",American Progressive Bag Alliance,11/01/20-04/30/21,"$15,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,150.00"
A008110,"Carroll, Jr., David","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/20-04/30/21,"$16,550.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,550.00"
A008112,"Carroll, Jr., David","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/20-04/30/21,"$7,650.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,650.00"
A008362,"Carroll, Jr., David","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/20-04/30/21,"$3,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,150.00"
A008380,"Carroll, Jr., David","Capitol Strategies, LLC","Children's Guild, The",11/01/20-04/30/21,"$20,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,150.00"
A008653,"Carroll, Jr., David","Capitol Strategies, LLC",Erickson Living Management c/o Redwood Capital Investments,11/01/20-04/30/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A008671,"Carroll, Jr., David","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/20-04/30/21,"$9,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,400.00"
A009259,"Carroll, Jr., David","Capitol Strategies, LLC",MGM Resorts International,11/01/20-04/30/21,"$39,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$39,150.00"
A006951,"Carroll, Jr., David","Capitol Strategies, LLC",HHS Tech Group,07/13/20-10/31/20,"$8,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,250.00"
A006325,"Carroll, Jr., David","Capitol Strategies, LLC","Children's Guild, The",05/01/20-10/31/20,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A008121,"Carroll, Jr., David","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,05/01/21-10/31/21,"$8,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,500.00"
A008648,"Carroll, Jr., David","Capitol Strategies, LLC",Veritas HHS,05/01/21-10/31/21,"$5,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,500.00"
A008113,"Carroll, Jr., David","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",05/01/21-10/31/21,"$8,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00"
A008363,"Carroll, Jr., David","Capitol Strategies, LLC","MTC Logistics, Inc.",05/01/21-10/31/21,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A008117,"Carroll, Jr., David","Capitol Strategies, LLC",Accenture LLP,05/01/21-10/31/21,"$20,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,500.00"
A008107,"Carroll, Jr., David","Capitol Strategies, LLC",American Progressive Bag Alliance,05/01/21-10/31/21,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A011094,"Carroll, Jr., David","Capitol Strategies, LLC",W.L. Gore & Associates,05/01/21-10/31/21,"$4,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,500.00"
A013750,"Carroll, Jr., David","Capitol Strategies, LLC",ClassWallet,06/07/21-10/31/21,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A012488,"Carroll, Jr., David","Capitol Strategies, LLC","Cormac Group, The",05/01/21-10/31/21,"$50,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$50,000.00"
A004430,"Carroll, Jr., David","Capitol Strategies, LLC",Girls Who Code,11/18/19-04/30/20,"$4,339.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,339.00"
A004431,"Carroll, Jr., David","Capitol Strategies, LLC",Girls Who Code,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
